loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-05-05T13:02:11.522+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.250467000001,0.1001129150390625,-0.6515350341796875,-0.7668914794921875,5155.240471,-2.764483478191182,0.06416480656244927,0.5302985187883854,0.08520639687776566,-0.2092695981264114,-0.2652821838855743,0.08059584349393845,-0.1577834486961365,0.09658348560333252,XArbitraryZVertical,-0.07950107810719591,0.2514738879163095,0.9458856532348142,-0.1890527652369872,0.05531419068574905,-0.5057908892631531,-0.8608809113502502,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.529+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.260462,0.1141357421875,-0.680206298828125,-0.762542724609375,5155.250467000001,-2.767639880268329,0.06367100655221516,0.5308938326573069,0.05928398668766022,-0.2069973945617676,-0.2724839150905609,0.05584785342216492,-0.131589412689209,0.0892757773399353,XArbitraryZVertical,-0.07892141551144624,0.2519278955650291,0.9461240084601268,-0.1874920977566601,0.05486991256475449,-0.5063043236732483,-0.8606075048446655,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.531+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.270458,0.1203460693359375,-0.6717529296875,-0.777740478515625,5155.260462,-2.77079815067001,0.06312692418689872,0.5309579839502238,-0.01273071765899658,-0.226879820227623,-0.2648227214813232,0.04571329802274704,-0.1451754570007324,0.09371340274810791,XArbitraryZVertical,-0.07827146370645578,0.2521332387149792,0.946431832746559,-0.1859286681684094,0.05439961329102516,-0.5063596367835999,-0.8606048226356506,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.533+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.280453,0.1006317138671875,-0.6630401611328125,-0.7991180419921875,5155.270458,-2.7736772130839,0.06212202527752293,0.5302964706636718,-0.082598477602005,-0.2589730322360992,-0.2442956417798996,0.06058017909526825,-0.17441725730896,0.0984504222869873,XArbitraryZVertical,-0.07737703952889893,0.2520242590125009,0.9468244266054227,-0.184445328242563,0.05355554819107056,-0.5057891011238098,-0.8609931468963623,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.537+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.290449,0.100006103515625,-0.66162109375,-0.8113555908203125,5155.280453,-2.776252090034586,0.06078442542568325,0.5291375163865789,-0.1194775700569153,-0.2638347148895264,-0.2143642902374268,0.06790665537118912,-0.166964054107666,0.0839080810546875,XArbitraryZVertical,-0.07632208260759975,0.2516956137724978,0.9472645818332986,-0.1830683512293935,0.05243941023945808,-0.5047889947891235,-0.8616484999656677,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.540+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.300444,0.1041717529296875,-0.6609344482421875,-0.8211822509765625,5155.290449,-2.778439584074489,0.05916543182957275,0.5276169861017609,-0.1620327532291412,-0.2795135378837585,-0.1813349723815918,0.04954204708337784,-0.1595644354820251,0.06337952613830566,XArbitraryZVertical,-0.0751530599189119,0.2512036340022911,0.9477246262464256,-0.1818428035218538,0.05108966678380966,-0.5034758448600769,-0.8624975085258484,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.543+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.31044,0.1029510498046875,-0.6559600830078125,-0.8297882080078125,5155.300444,-2.780219511212239,0.05719333184234327,0.525721079893633,-0.1958473771810532,-0.2890778779983521,-0.1507665365934372,0.05056298524141312,-0.1597843766212463,0.05219250917434692,XArbitraryZVertical,-0.073837298483141,0.2505474702726698,0.9482069309355773,-0.1807700638950093,0.04944311082363129,-0.5018368363380432,-0.8635480403900146,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.556+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.320435000001,0.098663330078125,-0.6380462646484375,-0.8459320068359375,5155.31044,-2.781679846201839,0.05498980023817189,0.5236766149200625,-0.1890081167221069,-0.2984492778778076,-0.1255024671554565,0.05657532066106796,-0.1608671545982361,0.0434952974319458,XArbitraryZVertical,-0.07243997745072242,0.2498273242349522,0.9486848211189917,-0.1798221743513861,0.04759642854332924,-0.500067412853241,-0.8646774888038635,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.563+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.330431,0.0753173828125,-0.63299560546875,-0.861602783203125,5155.320435000001,-2.782882078374505,0.05253059247600319,0.5219594352011847,-0.1422084718942642,-0.3103436827659607,-0.1011332720518112,0.05743616074323654,-0.1573805809020996,0.03586006164550781,XArbitraryZVertical,-0.07098091551085152,0.249274178403507,0.9491030328337202,-0.1789626176614565,0.04551488533616066,-0.4985796213150024,-0.8656482100486755,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
2022-05-05T13:02:11.573+02:00,1651748530.99997,53.22893240109126,10.39802129143241,36.96701,0,20,-1,-1,2.400000095367432,7.999579855010836,-9999,5155.340426000001,0.0739898681640625,-0.637115478515625,-0.8746185302734375,5155.330431,-2.783893279758184,0.05000996740813399,0.5207779216044933,-0.08381494879722595,-0.2940635085105896,-0.08937808871269226,0.05530112981796265,-0.1404912769794464,0.02041596174240112,XArbitraryZVertical,-0.06956077215713366,0.2489725755317828,0.9494343016979574,-0.1781814316113928,0.04336218535900116,-0.4975550770759583,-0.8663479089736938,0,0,0,-1,-1,5154.156747125,walking,2,2022-05-05T13:02:10.389+02:00,2022-05-05T12:55:18.700+02:00,270,0.8798907,0.7205021,1.900869,196.189,0,0,2022-05-05T13:02:05.264+02:00,673441330.3886673,0,1.45,101.4296,1,0.87
